Feature,Importance
132,0.44771021888253587
216,0.11266630183429191
0,0.08152145101707964
48,0.045655696059489034
46,0.03554679725148952
3,0.02493789865196362
1,0.023393626715755015
17,0.020276990239017873
140,0.018983724170586042
5,0.01461955572531493
136,0.013750619932925055
4,0.01227723754212207
2,0.01209781219681925
137,0.01121934926869205
89,0.010266031091253026
7,0.008627339726465412
204,0.008090931071423814
32,0.007224587198288608
141,0.006937696184436662
6,0.005675834804623795
21,0.005471324164126189
81,0.005127876510044785
20,0.004464640355786428
95,0.004219660864648633
14,0.0037916178671069107
24,0.0033590889599086553
88,0.002557300404096893
78,0.0025107340301621516
119,0.002460113610850304
77,0.0022890504026664444
43,0.0022307912845614753
16,0.0021853938156213668
9,0.0018005299597427238
102,0.001771062438935631
145,0.0017392218002480304
101,0.0015481105487087047
153,0.0014752844050596524
30,0.0014356837495169618
11,0.0013834947292593507
189,0.0013772240708383077
146,0.0013525116336690738
91,0.0013148912739873958
57,0.00131370529582108
62,0.001131895566609925
104,0.0010975009984529906
135,0.0010415215496217066
133,0.0010392637351107556
114,0.000864224144413586
26,0.0007904161832907532
64,0.0007286812725220646
111,0.0007189680018915893
134,0.0006927398897123336
106,0.0006925654522717399
67,0.0006671477461704768
82,0.0006100337150118227
97,0.000503353612808493
73,0.000494685945476198
110,0.0004904461893196004
8,0.0004761241179736716
56,0.0004652199565359832
33,0.0004620713263651679
83,0.00044576089719667596
205,0.00044372159168046634
100,0.00044259338413600856
80,0.0004383492710185118
44,0.00043663206156610064
19,0.00040403059159212803
96,0.00035342059431929486
172,0.00034038052832627936
18,0.0003305217841284251
98,0.00032892362098307974
52,0.00031538855801103446
49,0.00031249714454762383
69,0.0003085950684512978
23,0.00027641117999752313
162,0.00023050410753418075
113,0.00022779393341024567
208,0.0002271814506888268
129,0.00022365762114498266
130,0.00021039803513287346
184,0.0002098350759831521
60,0.00020981140071358987
188,0.0001991821289115799
40,0.00018380144034427462
36,0.00016493743411438892
183,0.0001641317306867328
38,0.00015372494520924675
34,0.00014068522229018136
13,0.00010995518663035643
45,0.00010808339618873087
85,0.00010220757153797753
165,9.831607955467344e-05
206,9.730313881903716e-05
31,9.028845175917727e-05
42,3.388128186754083e-05
25,1.0854700682976697e-05
22,2.1208481883116673e-07
28,8.394809678913668e-08
35,6.989477066718051e-08
87,2.319655276325104e-09
180,0.0
182,0.0
179,0.0
181,0.0
47,0.0
176,0.0
178,0.0
177,0.0
186,0.0
175,0.0
174,0.0
173,0.0
171,0.0
170,0.0
169,0.0
168,0.0
167,0.0
166,0.0
164,0.0
163,0.0
185,0.0
198,0.0
187,0.0
210,0.0
212,0.0
213,0.0
214,0.0
215,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
211,0.0
209,0.0
12,0.0
207,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
160,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
10,0.0
161,0.0
138,0.0
159,0.0
90,0.0
76,0.0
41,0.0
79,0.0
84,0.0
86,0.0
39,0.0
37,0.0
108,0.0
92,0.0
93,0.0
94,0.0
99,0.0
103,0.0
105,0.0
75,0.0
74,0.0
72,0.0
71,0.0
70,0.0
68,0.0
66,0.0
65,0.0
63,0.0
61,0.0
59,0.0
58,0.0
55,0.0
54,0.0
53,0.0
51,0.0
50,0.0
107,0.0
109,0.0
158,0.0
149,0.0
142,0.0
143,0.0
144,0.0
15,0.0
147,0.0
148,0.0
150,0.0
112,0.0
151,0.0
152,0.0
154,0.0
155,0.0
156,0.0
157,0.0
139,0.0
27,0.0
131,0.0
128,0.0
127,0.0
126,0.0
125,0.0
124,0.0
123,0.0
122,0.0
121,0.0
120,0.0
29,0.0
118,0.0
117,0.0
116,0.0
115,0.0
228,0.0
